PlanReference;Location_x;Location_y;level;Strength;Dimensions_l;Dimensions_w;Dimensions_h;Liveload;TypeOfElement;RebarDiameterTop;RebarAmountTop;RebarDiameterBottom;RebarAmountBottom;Condition;img;Rebound.1;Rebound.2;Rebound.3;Rebound.4;Rebound.5;Rebound.6;;;;
E-H/1-6;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/7-12;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/13-18;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/19-24;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/25-32;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/33-40;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/41-46;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/47-52;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/69-74;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/75-80;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/81-86;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
E-H/87-92;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/1-6;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/7-12;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/13-18;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/19-24;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/25-32;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/33-40;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/41-46;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/47-52;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/69-74;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/75-80;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/81-86;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
A-D/87-92;2400;13200;1;C25/30;3600;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
