id,planReference,location_x,location_y,location_z,strength,dimensions_l,dimensions_w,dimensions_h,liveload,typeOfElement,rebarDiameterTop,rebarAmountTop,rebarDiameterBottom,rebarAmountBottom,weight
64,E-H/41-46,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
65,E-H/47-52,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
66,E-H/53-60,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
67,E-H/61-68,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
68,E-H/69-74,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
69,E-H/75-80,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
70,E-H/81-86,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
71,E-H/87-92,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
72,A-D/1-6,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
73,A-D/7-12,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
74,A-D/13-18,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
75,A-D/19-24,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
76,A-D/25-32,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
77,A-D/33-40,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
78,A-D/41-46,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
79,A-D/47-52,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
80,A-D/53-60,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
81,A-D/61-68,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
82,A-D/69-74,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
83,A-D/75-80,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
84,A-D/81-86,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
85,A-D/87-92,2400.000,13200.000,2590.000,C25 / 30,3600.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
