Id,PlanReference,Location_x,Location_y,Level,Strength,Dimensions_l,Dimensions_w,Dimensions_h,Liveload,TypeOfElement,RebarDiameterTop,RebarAmountTop,RebarDiameterBottom,RebarAmountBottom,Condition,Img,Rebound1,Rebound2,Rebound3,Rebound4,Rebound5,Rebound6
20,Q-T/61-68,38100,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
21,Q-T/69-72,41700,10500,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
22,Q-T/77-84,47700,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
23,Q-T/85-92,52500,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
24,M-P/1-6,1500,8100,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
25,M-P/7-12,5100,8100,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
26,O-P/3-18,5700,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
27,O-P/19-24,12300,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
28,M-P/25-32,16500,8100,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
29,M-P/33-40,21300,8100,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
30,O-P/41-46,25500,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
31,O-P/47-52,29100,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
32,M-P/53-60,33300,8100,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
33,M-P/61-68,38100,8100,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
34,O-P/69-74,42300,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
35,O-P/75-80,45900,8700,1,C25/30,3600,1188,180,2,HC,12.5,0,12.5,4,,,,,,,,
36,M-P/81-86,49500,8100,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
37,M-P/87-92,53100,8100,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
38,I-L/1-6,1500,5700,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
39,I-L/7-12,5100,5700,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
40,I-N/13-15,7800,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
41,I-N/16-18,9600,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
42,I-N/19-21,11400,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
43,I-N/22-24,13200,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
44,I-L/25-32,16500,5700,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
45,I-L/33-40,21300,5700,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
46,I-N/41-44,24900,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
47,I-N/44-46,26400,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
48,I-N/47-49,28200,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
49,I-N/50-52,30000,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
50,I-L/53-60,33300,5700,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
51,I-L/61-68,38100,5700,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
52,I-N/69-71,41400,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
53,I-N/72-74,43200,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
54,I-N/75-77,45000,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
55,I-N/78-80,46800,6300,1,C25/30,3600,1777,180,2,HC,12.5,0,12.5,6,,,,,,,,
56,I-L/81-86,49500,5700,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
57,I-L/87-92,53100,5700,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
58,E-H/1-6,1500,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
59,E-H/7-12,5100,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
60,E-H/13-18,8700,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
61,E-H/19-24,12300,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
62,E-H/25-32,16500,3300,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
63,E-H/33-40,21300,3300,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
64,E-H/41-46,25500,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
65,E-H/47-52,29100,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
66,E-H/53-60,33300,3300,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
67,E-H/61-68,38100,3300,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
68,E-H/69-74,42300,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
69,E-H/75-80,45900,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
70,E-H/81-86,49500,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
71,E-H/87-92,53100,3300,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
72,A-D/1-6,1500,900,1,C25/30,3600,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
